meeting_key,session_key,driver_number,lap_number,date_start,duration_sector_1,duration_sector_2,duration_sector_3,i1_speed,i2_speed,is_pit_out_lap,lap_duration,segments_sector_1,segments_sector_2,segments_sector_3,st_speed
1219,9161,1,1,2023-09-16T13:00:59.308000+00:00,,49.611,42.252,263,255,True,,"[2064, 2064, 2064, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2051, 2051, 2051]",
1219,9161,1,2,2023-09-16T13:03:04.650000+00:00,27.348,39.244,26.27,305,276,False,92.862,"[2051, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2051, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2051, 2048]",300.0
1219,9161,1,3,2023-09-16T13:04:37.351000+00:00,49.824,61.633,40.268,137,164,False,151.725,"[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]",226.0
1219,9161,1,4,2023-09-16T13:07:09.114000+00:00,42.243,52.971,42.236,180,234,False,137.45,"[None, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]",158.0
1219,9161,1,5,2023-09-16T13:09:26.581000+00:00,27.144,39.064,26.19,310,277,False,92.398,"[2049, 2048, 2049, 2048, 2049, 2051, 2049, 2049]","[2051, 2049, 2049, 2048, 2049, 2048, 2049, 2048]","[2048, 2049, 2049, 2049, 2049, 2048, 2048, 2048]",301.0
1219,9161,1,6,2023-09-16T13:10:58.970000+00:00,30.599,43.294,39.009,254,211,False,112.902,"[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2064, 2064, 2064]",253.0
1219,9161,1,7,2023-09-16T13:14:54.356000+00:00,,68.429,78.466,222,229,True,307.404,"[2064, 2064, 2064, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]",
1219,9161,1,8,2023-09-16T13:17:59.291000+00:00,27.462,38.938,46.007,314,278,False,112.407,"[2048, 2048, 2048, 2048, 2049, 2048, 2048, 2049]","[2048, 2048, 2049, 2049, 2048, 2049, 2049, 2049]","[2048, 2048, 2048, 2048, 2048, 2064, 2064, 2064]",298.0
1219,9161,1,9,2023-09-16T13:53:06.253000+00:00,,49.283,29.216,219,241,True,2115.948,"[2064, 2064, 2064, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2051, 2049]","[2051, 2051, 2051, 2051, 2051, 2051, 2051]",
1219,9161,1,10,2023-09-16T13:55:07.548000+00:00,27.25,38.931,26.126,305,277,False,92.307,"[2049, 2049, 2049, 2049, 2049, 2051, 2049, 2049]","[2049, 2049, 2049, 2049, 2051, 2049, 2049, 2049]","[2049, 2049, 2049, 2051, 2051, 2051, 2051]",300.0
