meeting_key,session_key,driver_number,lap_number,date_start,duration_sector_1,duration_sector_2,duration_sector_3,i1_speed,i2_speed,is_pit_out_lap,lap_duration,segments_sector_1,segments_sector_2,segments_sector_3,st_speed
1220,9169,1,1,2023-09-23T06:03:17.587000+00:00,,54.627,23.035,258.0,178.0,True,,"[2064, 2064, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2051, 2051]",206.0
1220,9169,1,2,2023-09-23T06:05:22.101000+00:00,31.228,40.656,17.994,282.0,306.0,False,89.878,"[2051, 2049, 2049, 2049, 2049, 2051, 2049, 2051, 2049]","[2051, 2049, 2049, 2049, 2049, 2049, 2051, 2051, 2051, 2051, 2051]","[2051, 2051, 2051, 2048]",306.0
1220,9169,1,3,2023-09-23T06:06:51.960000+00:00,52.151,51.748,,247.0,275.0,False,,"[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]",[2048],227.0
1220,9169,1,4,2023-09-23T06:39:06.094000+00:00,,52.855,20.955,219.0,204.0,True,2054.549,"[2064, 2064, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2051, 2051, 2049, 2049, 2051, 2049, 2049, 2049]","[2051, 2051, 2051, 2051, 2051]",262.0
1220,9169,1,5,2023-09-23T06:41:06.546000+00:00,31.264,40.689,18.011,282.0,304.0,False,89.964,"[2049, 2049, 2051, 2051, 2049, 2051, 2051, 2051, 2049]","[2051, 2051, 2051, 2051, 2051, 2049, 2049, 2051, 2051, 2049, 2049]","[2049, 2051, 2051, 2048, 2048]",305.0
1220,9169,1,6,2023-09-23T06:42:36.436000+00:00,36.43,46.11,22.979,253.0,275.0,False,105.519,"[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2064, 2064]",268.0
1220,9169,1,7,2023-09-23T07:02:02.766000+00:00,,54.922,21.439,226.0,182.0,True,1185.609,"[2064, 2064, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2051, 2051, 2049, 2049, 2049, 2049, 2049, 2051, 2049]","[2051, 2051, 2051, 2051, 2051]",229.0
1220,9169,1,8,2023-09-23T07:04:07.624000+00:00,30.825,40.316,17.871,282.0,306.0,False,89.012,"[2051, 2051, 2051, 2049, 2049, 2051, 2051, 2051, 2049]","[2051, 2049, 2049, 2051, 2049, 2049, 2051, 2051, 2051, 2051, 2051]","[2051, 2051, 2051, 2048]",305.0
1220,9169,1,9,2023-09-23T07:05:36.561000+00:00,36.999,47.528,24.238,253.0,274.0,False,108.765,"[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2064, 2064]",237.0
1220,9169,1,10,2023-09-23T07:09:53.855000+00:00,,55.621,21.194,219.0,171.0,True,270.65,"[2064, 2064, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2051]",236.0
1220,9169,1,11,2023-09-23T07:11:56.088000+00:00,30.725,40.311,17.841,283.0,305.0,False,88.877,"[2051, 2051, 2051, 2048, 2048, 2051, 2051, 2051, 2051]","[2051, 2049, 2049, 2048, 2049, 2049, 2049, 2048, 2048, 2048, 2048]","[2048, 2049, 2051, 2048]",304.0
1220,9169,1,12,2023-09-23T07:13:24.868000+00:00,41.376,51.188,31.667,219.0,238.0,False,124.231,"[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2064, 2064]",240.0
1220,9169,2,1,2023-09-23T06:05:03.195000+00:00,,50.194,21.822,252.0,291.0,True,,"[2064, 2064, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2051]",207.0
1220,9169,2,2,2023-09-23T06:07:09.209000+00:00,32.171,41.129,21.822,283.0,311.0,False,95.122,"[2051, 2051, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2051, 2051, 2049, 2049, 2049, 2051]","[2051, 2049, 2049, 2052]",308.0
