Track,Driver_Number,Corner_ID,Apex_Speed,Exit_Speed,Speed_Delta,Corner_Distance_m,Max_Curvature,Braking_Dist_To_Apex_m,Trail_Braking_Pct,Throttle_App_From_Apex_m,Coasting_Pct,Average_Throttle,Minimum_Gear
Monza,1,1,340,343,0,1765.4713826140778,1.4833009859925053,0.0,0.0,0.0,0.0,100.0,8
Monza,1,2,74,87,88,1170.135486368452,0.3606526944649423,0.0,37.5,0.0,31.25,9.1875,2
Monza,1,3,263,305,0,3260.1158138962146,0.12325762857298445,0.0,0.0,0.0,0.0,100.0,6
Monza,1,4,109,146,44,1011.8242926194325,0.27981821413145225,162.7043688936683,33.33333333333333,0.0,8.333333333333332,31.083333333333332,3
Monza,1,5,199,219,57,1962.6864169553555,0.23024652266616458,0.0,36.36363636363637,0.0,0.0,61.72727272727273,5
Monza,1,6,184,206,57,1057.9010014354062,0.18665656736214165,153.44380078712857,44.44444444444444,0.0,0.0,44.44444444444444,5
Monza,1,7,193,256,69,3232.0372134393547,0.2671542106659818,0.0,15.789473684210526,0.0,0.0,73.73684210526316,5
Monza,1,8,215,280,107,4140.773597046806,0.26174517021606725,0.0,21.052631578947366,0.0,0.0,74.47368421052632,6
Monza,2,1,69,80,58,849.0211396334234,1.2132304752184657,175.77755249443726,35.294117647058826,0.0,35.294117647058826,7.294117647058823,2
Monza,2,2,127,221,0,1165.5155047986227,0.9127308606049999,0.0,0.0,0.0,0.0,95.3,2
Monza,2,3,294,309,0,1702.2290417445965,0.07833022049620592,0.0,0.0,0.0,0.0,100.0,8
Monza,2,4,103,151,35,1154.8968095308846,0.24354401300738004,0.0,30.76923076923077,0.0,7.6923076923076925,30.23076923076923,3
Monza,2,5,192,212,68,1831.1258096716228,0.1766406672634811,0.0,35.714285714285715,0.0,14.285714285714285,33.07142857142857,5
Monza,2,6,226,255,0,1141.544125039487,0.7487531969110608,0.0,0.0,0.0,0.0,100.0,6
Monza,2,7,173,192,46,994.2580435159362,0.21468624090748034,0.0,37.5,0.0,0.0,34.25,5
Monza,2,8,202,238,0,674.9871140527612,1.336767464925245,0.0,0.0,0.0,0.0,100.0,5
Monza,2,9,177,254,64,2808.0617641807185,0.19423683948429693,0.0,14.285714285714285,0.0,4.761904761904762,69.71428571428571,5
Monza,2,10,199,268,86,3534.747973610756,0.26389697460634665,0.0,19.047619047619047,0.0,0.0,67.66666666666667,6
Monza,4,1,339,339,1,1345.9230751087134,1.4839943424978161,0.0,0.0,0.0,0.0,98.85714285714286,8
Monza,4,2,71,92,97,1156.0251970348381,1.2833993932897245,0.0,25.0,0.0,37.5,11.5625,2
Monza,4,3,283,309,0,2730.013997525328,0.3565984220508054,0.0,0.0,0.0,0.0,99.0,7
Monza,4,4,113,136,52,1013.0160323680575,0.22523515359085847,0.0,33.33333333333333,0.0,0.0,27.25,3
Monza,4,5,198,214,64,1414.1505384235825,0.21758914254238748,0.0,30.76923076923077,0.0,23.076923076923077,37.38461538461539,5
Monza,4,6,184,198,26,944.4688178379038,0.20574691099092024,0.0,25.0,0.0,25.0,33.625,5
Monza,4,7,192,261,43,2926.9870984442096,0.24305057369187277,101.2373448881408,16.666666666666664,0.0,0.0,73.94444444444444,5
Monza,4,8,211,266,42,3323.023218173781,1.9102523933560178,0.0,10.0,0.0,10.0,68.0,5
Monza,10,1,70,77,100,1063.1351707334925,0.3849142752221579,0.0,43.75,0.0,25.0,7.6875,2
Monza,10,2,285,307,0,2373.8411236085576,0.4381043491912657,0.0,0.0,0.0,0.0,100.0,7
Monza,10,3,111,151,28,1115.5717304552527,0.28746320548528187,0.0,21.428571428571427,0.0,21.428571428571427,30.857142857142858,3
Monza,10,4,185,219,61,1907.0378818894715,0.2000036840753124,0.0,35.714285714285715,0.0,7.142857142857142,40.142857142857146,5
Monza,10,5,175,193,34,938.0177135527629,1.6897966201776766,0.0,22.22222222222222,0.0,33.33333333333333,33.22222222222222,4
Monza,10,6,184,184,48,874.1634112523025,1.5601015473980286,0.0,42.857142857142854,0.0,28.57142857142857,16.142857142857142,5
Monza,10,7,195,253,0,1798.6701331756922,0.18486520216502744,0.0,0.0,0.0,0.0,94.76923076923077,5
