meeting_key,session_key,driver_number,lap_number,date_start,duration_sector_1,duration_sector_2,duration_sector_3,i1_speed,i2_speed,is_pit_out_lap,lap_duration,segments_sector_1,segments_sector_2,segments_sector_3,st_speed
1216,9135,1,1,2023-07-28T15:11:48.141000+00:00,,57.127,67.712,270,171,True,,"[2064, 2064, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049]",250.0
1216,9135,1,2,2023-07-28T15:14:37.388000+00:00,34.173,55.292,32.132,307,177,False,121.597,"[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2048, 2049, 2051, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049]",287.0
1216,9135,1,3,2023-07-28T15:16:38.917000+00:00,33.926,54.542,32.087,291,174,False,120.555,"[None, 2049, 2049, 2049, 2049, 2049, 2049, 2048]","[2049, 2051, 2049, 2049, 2048, 2051, 2051, 2049, 2049, 2049, 2049, 2048]","[2049, 2051, 2049, 2049, 2049, 2048]",295.0
1216,9135,1,4,2023-07-28T15:18:39.461000+00:00,50.328,75.213,49.388,133,161,False,174.929,"[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2049]",213.0
1216,9135,1,5,2023-07-28T15:21:34.458000+00:00,33.566,53.808,31.558,309,177,False,118.932,"[2049, 2049, 2048, 2048, 2049, 2049, 2049, 2049]","[2051, 2048, 2048, 2051, 2048, 2051, 2051, 2049, 2049, 2049, 2051, 2049]","[2051, 2049, 2049, 2049, 2049, 2049]",297.0
1216,9135,1,6,2023-07-28T15:23:33.347000+00:00,56.784,85.327,50.758,136,165,False,192.869,"[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2049]",143.0
1216,9135,1,7,2023-07-28T15:26:46.219000+00:00,33.343,53.773,31.399,311,180,False,118.515,"[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2048, 2048, 2051, 2048, 2051, 2048, 2049, 2049, 2051, 2048, 2049]","[2051, 2049, 2049, 2049, 2049, 2049, 2048]",299.0
1216,9135,1,8,2023-07-28T15:28:44.748000+00:00,37.925,60.383,40.941,251,164,False,139.249,"[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2064]",235.0
1216,9135,1,9,2023-07-28T15:36:00.256000+00:00,,63.713,51.332,262,94,True,450.448,"[2064, 2064, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049]",239.0
1216,9135,1,10,2023-07-28T15:38:34.440000+00:00,32.88,51.6,31.055,313,191,False,115.535,"[2049, 2049, 2051, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2051, 2049, 2051, 2051, 2049, 2049, 2049, 2049, 2049]","[2051, 2051, 2049, 2049, 2049, 2049]",303.0
1216,9135,1,11,2023-07-28T15:40:29.907000+00:00,39.499,57.933,39.498,230,179,False,136.93,"[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2064]",211.0
1216,9135,1,12,2023-07-28T15:43:08.436000+00:00,53.994,60.695,37.678,169,175,True,152.367,"[2064, 2064, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048]",262.0
1216,9135,1,13,2023-07-28T15:45:19.277000+00:00,33.204,56.131,33.692,316,184,False,123.027,"[2048, 2048, 2048, 2049, 2048, 2049, 2049, 2049]","[2048, 2048, 2049, 2048, 2049, 2048, 2048, 2048, 2048, 2049, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048]",302.0
